/media/tempuser/RAID 5/gdxray/Castings/C0041/C0041_0028.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0035/C0035_0031.png,526,214,593,266,defect
/media/tempuser/RAID 5/gdxray/Castings/C0038/C0038_0036.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0039/C0039_0024.png,440,486,489,525,defect
/media/tempuser/RAID 5/gdxray/Castings/C0002/C0002_0090.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0010/C0010_0025.png,274,467,342,523,defect
/media/tempuser/RAID 5/gdxray/Castings/C0035/C0035_0017.png,509,91,574,145,defect
/media/tempuser/RAID 5/gdxray/Castings/C0031/C0031_0003.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0040/C0040_0027.png,449,434,494,460,defect
/media/tempuser/RAID 5/gdxray/Castings/C0026/C0026_0008.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0045/C0045_0006.png,28,33,41,48,defect
/media/tempuser/RAID 5/gdxray/Castings/C0045/C0045_0006.png,56,41,70,53,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0071.png,618,338,635,354,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0071.png,443,280,462,302,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0071.png,60,434,87,457,defect
/media/tempuser/RAID 5/gdxray/Castings/C0033/C0033_0034.png,89,284,214,359,defect
/media/tempuser/RAID 5/gdxray/Castings/C0002/C0002_0060.png,211,105,222,115,defect
/media/tempuser/RAID 5/gdxray/Castings/C0045/C0045_0034.png,48,72,64,82,defect
/media/tempuser/RAID 5/gdxray/Castings/C0045/C0045_0034.png,70,72,83,83,defect
/media/tempuser/RAID 5/gdxray/Castings/C0045/C0045_0034.png,202,117,213,129,defect
/media/tempuser/RAID 5/gdxray/Castings/C0045/C0045_0034.png,223,108,237,121,defect
/media/tempuser/RAID 5/gdxray/Castings/C0038/C0038_0026.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0038/C0038_0016.png,423,269,469,302,defect
/media/tempuser/RAID 5/gdxray/Castings/C0026/C0026_0029.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0008/C0008_0006.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0002/C0002_0038.png,171,103,181,112,defect
/media/tempuser/RAID 5/gdxray/Castings/C0002/C0002_0038.png,185,124,197,137,defect
/media/tempuser/RAID 5/gdxray/Castings/C0002/C0002_0038.png,56,29,69,42,defect
/media/tempuser/RAID 5/gdxray/Castings/C0035/C0035_0003.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0051/C0051_0069.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0007/C0007_0033.png,250,535,284,570,defect
/media/tempuser/RAID 5/gdxray/Castings/C0035/C0035_0004.png,553,5,599,28,defect
/media/tempuser/RAID 5/gdxray/Castings/C0024/C0024_0005.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0002/C0002_0078.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0038/C0038_0019.png,414,362,464,393,defect
/media/tempuser/RAID 5/gdxray/Castings/C0029/C0029_0035.png,636,8,761,567,defect
/media/tempuser/RAID 5/gdxray/Castings/C0041/C0041_0029.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0051/C0051_0043.png,14,54,28,70,defect
/media/tempuser/RAID 5/gdxray/Castings/C0030/C0030_0017.png,267,329,286,352,defect
/media/tempuser/RAID 5/gdxray/Castings/C0030/C0030_0017.png,304,336,328,355,defect
/media/tempuser/RAID 5/gdxray/Castings/C0030/C0030_0033.png,371,332,388,353,defect
/media/tempuser/RAID 5/gdxray/Castings/C0030/C0030_0033.png,291,338,313,361,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0040.png,589,41,623,70,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0040.png,609,66,628,83,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0040.png,515,143,536,166,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0040.png,204,44,222,64,defect
/media/tempuser/RAID 5/gdxray/Castings/C0029/C0029_0018.png,,,,,
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0051.png,396,144,410,159,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0051.png,484,431,500,449,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0051.png,456,419,470,436,defect
/media/tempuser/RAID 5/gdxray/Castings/C0001/C0001_0051.png,322,411,338,430,defect
